1506641	*Japanisch	*Lesung	*DtschUebers. (WaDokuDa: japanisch-deutsche Woerterbuch-Datei vom 26.06.2007) SpecChar POS	HE				*Lesung					
3940510	I [1]	wie entsprechende Zahl [2]	(<POS: N.>) Eins<Gen.: f>; I<Gen.: f>; 1<Gen.: f> (<Def.: röm. Ziffer für „<Topic: 1>“>).	HE				wie entsprechende Zahl					
4190510	V [1]	wie entsprechende Zahl [5]	(<POS: N.>) Fünf<Gen.: f>; V<Gen.: f> (<Def.: röm. Ziffer für „<Topic: 5>“>).	HE				wie entsprechende Zahl					
6593503	あ [1]; ア	あ [1]	(<POS: Interj.>) (<Usage: onomat.>) oh!; ah!; oje! (<Expl.: bei Überraschung, Erschrecken, Schmerz>).	HE	Tonakzent 13.04.2005	あ		あ				1	
6843503	ああ [1]; あゝ	ああ [1]	(<POS: Adv.>) <Prior_1>so; auf jene Art.	HE	Tonakzent 13.04.2005	ああ		ああ				1	0
9277371	ああ [2]; アア [1] (嗚呼; 嗟; 噫; 鳴呼)	ああ [2]	(<POS: Interj.>) [1] <Prior_1><JLPT2>ach!; ah!; <Prior_1><JLPT2>o!; oh! (<Expl.: als Ausdruck der Emotion und Klage>). [2] ach, entschuldigen Sie!; ach, hallo! (<Expl.: als direkte Anrede>). [3] (<Expl.: als Antwort auf eine Entscheidungsfrage>) ja // (<Expl.: bzw.>) nein (<Expl.: als Antwort auf eine verneinte Frage>).	HE	鳴呼 ist falsches Kanji; häufiger Eingabefehler (check)	ああ; 〈嗚呼〉; ×嗟; ×噫		ああ				1	
9527371	ああいう; ああ言う	ああいう	(<POS: Adn.>) ein solches; ein solcher.	HE	Tonakzent 13.04.2005	ああ言う		ああ[WaSep]いう				0	
2154020	ああいう男	ああいうおとこ	ein solcher Mann<Gen.: m>; ein Mann<Gen.: m> dieser Art.	ああいう; ああ言う			<ああいう>男	<ああ[WaSep]いう>　おとこ	Verwendungsbeispiel				
4837889	ああいう風に; ああいうふうに	ああいうふうに	auf diese Weise; so; wie dieses.	ああいう; ああ言う		ああいう風に	<ああいう>風に	<ああ[WaSep]いう>　ふう　に	Verwendungsbeispiel				
7490882	アーヴィング	あーう゛ぃんぐ	(<POS: N.>) {<Dom.: Persönlichk.>} [1] Washington <FamN.: Irving> (<Def.: amerik. Schriftsteller>; <BirthDeath: 1783–1859>). [2] John <FamN.: Irving> (<Def.: amerik. Schriftsteller>; <BirthDeath: 1942–>).	HE	Problemfall			[Gr]あーう゛ぃんぐ					
0564455	アーカイバ	あーかいば	(<POS: N.>) {<Dom.: EDV>} Archiver<Gen.: m> (<Def.: Software, die Programme und Dateien zu einem komprimierten Datenarchiv zusammenfügt>).	HE				あーかいば					
3248326	アーカイバー	あーかいばー	(<POS: N.>) {<Dom.: EDV>} Archiver<Gen.: m> (<Def.: Software, die Programme und Dateien zu einem komprimierten Datenarchiv zusammenfügt>).	HE				あーかいばー					
5901319	アーカイブする	あーかいぶする	archivieren.	アーカイブ			<アーカイブ>する	<あーかいぶ>[suru]する	Abl. mit <Umschr.: suru>				
8585187	アーガイル	あーがいる	(<POS: N.>) [1] {<Dom.: Gebietsn.>} Argyle<Gen.: nNAr> (<Def.: Verwaltungsgebiet im Westen von Schottland>). [2] Argyle-Muster<Gen.: n> (<Def.: Strickmuster mit auf die Ecke gestellter Raute auf einfarbigem Hintergrund>; <Expl.: nach dem schottischen Clan Campbell of Argyle>; <Expl.: Abk.>). (<Pict.: <Capt.: Argyle-Muster><FileN: argyl>>).	HE	Tonakzent 13.04.2005			[Gr]あー[NN]がいる				3	
2461095	アーガイル･チェック; アーガイルチェック	あーがいるちぇっく	Argyle-Karos<Gen.: npl>; Argyle-Muster<Gen.: n> (<Def.: Strickmuster mit auf die Ecke gestellter Raute auf einfarbigem Hintergrund>; <Etym.: nach dem schottischen Clan Campbell of Argyle>). (<Pict.: <Capt.: Argyle-Muster><FileN: argyl>>).	アーガイル		アーガイル･チェック	<アーガイル>･チェック	<[Gr]あーがいる>[KanaSep]ちぇっく	Komp. Anf.			6	
5144964	アーカンソー	あーかんそー	(<POS: N.>) {<Dom.: Gebietsn.>} Arkansas<Gen.: nNAr> (<Def.: Bundesstaat der USA>; <Expl.: Abk.: Ark.>).	HE	Tonakzent 13.04.2005			[Gr]あーかんそー				3	
7797957	アーカンソー州の人	あーかんそーしゅうのひと	Einwohner<Gen.: m> des amerik. Bundesstaates Arkansas.	アーカンソー			<アーカンソー>州の人	<[Gr]あーかんそー>–しゅう　の　ひと	Verwendungsbeispiel				
0878452	アーキテクチャ	あーきてくちゃ	(<POS: N.>) [1] Architektur<Gen.: n>. [2] Struktur<Gen.: f>. [3] {<Dom.: EDV>} Computer-Architektur<Gen.: f>. (<Etym.: von engl. <For.: architecture>>).	HE				あー[Dev]きて[Dev]くちゃ				4	
3562321	アーキテクチャー	あーきてくちゃー	(<POS: N.>) [1] Architektur<Gen.: n>. [2] Struktur<Gen.: f>. [3] {<Dom.: EDV>} Computer-Architektur<Gen.: f>. (<Etym.: von engl. <For.: architecture>>; <Ref.: ☞ <Transcr.: ākitekucha> <Jap.: アーキテクチャ><DaID: 0878452>>).	HE				あー[Dev]きて[Dev]くちゃー				4	
6215314	アーキビスト	あーきびすと	(<POS: N.>) Archivar<Gen.: m> (<Etym.: von engl. <For.: archivist>>).	HE	Tonakzent 13.04.2005			あーきび[Dev]すと				0	
8899182	アーキペンコ	あーきぺんこ	(<POS: N.>) {<Dom.: Persönlichk.>} Alexander <FamN.: Archipenko> (<Def.: amerik. Bildhauer ukrain. Herkunft>; <BirthDeath: 1887–1964>).	HE	Tonakzent 13.04.2005			[Gr]あーきぺんこ				4	
1295808	アーギュメント	あーぎゅめんと	(<POS: N.>) {<Dom.: Math., EDV>} Argument<Gen.: n>; unabhängige Variable<Gen.: f> einer Funktion.	HE	Tonakzent 13.04.2005			あー[NN]ぎゅめんと				1	
1545808	アーク [2]	あーく [2]	(<POS: N.>) [1] Bogen<Gen.: m>. [2] {<Dom.: Phys.>} Lichtbogen<Gen.: m> (<Def.: hell leuchtende Gasentladung zwischen zwischen zwei Strom führenden Elektroden>). (<Etym.: von engl. <For.: arc>>).	HE	Tonakzent 13.04.2005			あーく				1	
3979677	アーク灯 (アーク燈)	あーくとう	(<POS: N.>) {<Dom.: Elektrot.>} Bogenlampe<Gen.: f>; Lichtbogenlampe<Gen.: f>; Bogenlicht<Gen.: n> (<Ref.: ⇒ <Transcr.: āku·ranpu> <Jap.: アーク･ランプ><DaID: 9566538>>).	HEアーク [2]	Tonakzent 13.04.2005	アーク灯	<アーク>灯	<あー[Dev]く>–とう	Komp. Anf.		2	0	
4229677	アーク放電	あーくほうでん	{<Dom.: Phys.>} Bogenentladung<Gen.: f>; Lichtbogenbildung<Gen.: f>.	アーク [2]			<アーク>放電	<あーく>[DinSP]ほうでん	Komp. Anf.		2	4	
6632670	アーク溶接 (アーク熔接; アーク鎔接)	あーくようせつ	Lichtbogenschweißen<Gen.: n>; Lichtbogenschweißung<Gen.: f>.	アーク [2]		アーク溶接; アーク×熔接; アーク×鎔接	<アーク>溶接	<あーく>[DinSP]ようせつ	Komp. Anf.		2	4	
6882670	アーグラ	あーぐら	(<POS: N.>) {<Dom.: Stadtn.>} Agra<Gen.: nNAr> (<Def.: Stadt im Bundesstaat Uttar Pradesh, Indien>; <Expl.: am Yamuna>).	HE	Tonakzent 13.04.2005			[Gr]あー[NN]ぐら				2	
9316538	アークライト [2]	あーくらいと [1]	(<POS: N.>) {<Dom.: Persönlichk.>} Richard <FamN.: Arkwright> (<Def.: engl. Erfinder>; <BirthDeath: 1732–1792>).	HE	Tonakzent 13.04.2005			[Gr]あーくらいと				4	
9566538	アーク･ランプ; アークランプ	あーくらんぷ	{<Dom.: Elektrot.>} Lichtbogenlampe<Gen.: f>; Bogenlampe<Gen.: f>.	アーク [2]		アーク･ランプ	<アーク>･ランプ	<あーく>[DinSP]らんぷ	Komp. Anf.		2	4	
